#,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,NOTES,,,,
1,P00003335,Alabama,AL,11/2/04,George W.,Bush,"Bush, George W.",,R,"1,176,394",,62.46%,,,,,
2,P80000235,Alabama,AL,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"693,933",,36.84%,,,,,
3,P20000527,Alabama,AL,11/2/04,Ralph,Nader,"Nader, Ralph",,I,"6,701",,0.36%,,,,,
4,P40002537,Alabama,AL,11/2/04,Michael,Badnarik,"Badnarik, Michael",,I,"3,529",,0.19%,,,,,
5,P40003261,Alabama,AL,11/2/04,Michael,Peroutka,"Peroutka, Michael",,I,"1,994",,0.11%,,,,,
6,n/a,Alabama,AL,11/2/04,,Scattered,Scattered,,W,898,,0.05%,,,,,
7,n/a,Alabama,AL,11/2/04,,,,Total State Votes:,,,"1,883,449",,,,,,
8,P00003335,Alaska,AK,11/2/04,George W.,Bush,"Bush, George W.",,R,"190,889",,61.07%,,,,,
9,P80000235,Alaska,AK,11/2/04,John F.,Kerry,"Kerry, John F.",,D,"111,025",,35.52%,,,,,
10,P20000527,Alaska,AK,11/2/04,Ralph,Nader,"Nader, Ralph",,POP,"5,069",,1.62%,,,,,
11,P40003261,Alaska,AK,11/2/04,Michael A.,Peroutka,"Peroutka, Michael A.",,AKI,"2,092",,0.67%,,,,,
12,P40002537,Alaska,AK,11/2/04,Michael,Badnarik,"Badnarik, Michael",,AKL,"1,675",,0.54%,,,,,
13,P40003097,Alaska,AK,11/2/04,David,Cobb,"Cobb, David",,GRN,"1,058",,0.34%,,,,,
14,n/a,Alaska,AK,11/2/04,,Scattered,Scattered,,W,790,,0.25%,,,,,
15,n/a,Alaska,AK,11/2/04,,,,Total State Votes:,,,"312,598",,,,,,
16,P00003335,Arizona,AZ,11/2/04,George W.,Bush,"Bush, George W.",,R,"1,104,294",,54.87%,,,,,
