1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,,,,
2,P80002801,Alabama,AL,11/4/08,John,McCain,"McCain, John",,R,"1,266,546",,60.32%,,,,
3,P80003338,Alabama,AL,11/4/08,Barack,Obama,"Obama, Barack",,D,"813,479",,38.74%,,,,
4,P20000527,Alabama,AL,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"6,788",,0.32%,,,,
5,P80005580,Alabama,AL,11/4/08,Bob,Barr,"Barr, Bob",,I,"4,991",,0.24%,,,,
6,P80005499,Alabama,AL,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,I,"4,310",,0.21%,,,,
7,n/a,Alabama,AL,11/4/08,,Scattered,Scattered ,,W,"3,705",,0.18%,,,,
8,n/a,Alabama,AL,11/4/08,,,,Total State Votes: ,,"2,099,819","2,099,819",,,,,
9,P80002801,Alaska,AK,11/4/08,John,McCain,"McCain, John",,R,"193,841",,59.42%,,,,
10,P80003338,Alaska,AK,11/4/08,Barack,Obama,"Obama, Barack",,D,"123,594",,37.89%,,,,
11,P20000527,Alaska,AK,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"3,783",,1.16%,,,,
12,n/a,Alaska,AK,11/4/08,,Scattered,Scattered ,,W,"1,730",,0.53%,,,,
13,P80005499,Alaska,AK,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,AKI,"1,660",,0.51%,,,,
14,P80005580,Alaska,AK,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"1,589",,0.49%,,,,
15,n/a,Alaska,AK,11/4/08,,,,Total State Votes: ,,"326,197","326,197",,,,,
16,P80002801,Arizona,AZ,11/4/08,John,McCain,"McCain, John",,R,"1,230,111",,53.64%,,,,
17,P80003338,Arizona,AZ,11/4/08,Barack,Obama,"Obama, Barack",,D,"1,034,707",,45.12%,,,,
18,P80005580,Arizona,AZ,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"12,555",,0.55%,,,,
19,P20000527,Arizona,AZ,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"11,301",,0.49%,,,,
20,P80004930,Arizona,AZ,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,GRE,"3,406",,0.15%,,,,
21,P80005499,Arizona,AZ,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,W,"1,371",,0.06%,,,,
22,n/a,Arizona,AZ,11/4/08,Charles,Jay,"Jay, Charles",,W,16,,0.00%,,,,
23,P80005119,Arizona,AZ,11/4/08,Jonathan,Allen,"Allen, Jonathan",,W,8,,0.00%,,,,
24,n/a,Arizona,AZ,11/4/08,,,,Total State Votes: ,,"2,293,475","2,293,475",,,,,
25,P80002801,Arkansas,AR,11/4/08,John,McCain,"McCain, John",,R,"638,017",,58.72%,,,,
26,P80003338,Arkansas,AR,11/4/08,Barack,Obama,"Obama, Barack",,D,"422,310",,38.86%,,,,
27,P20000527,Arkansas,AR,11/4/08,Ralph,Nader,"Nader, Ralph",,I,"12,882",,1.19%,,,,
28,P80005580,Arkansas,AR,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"4,776",,0.44%,,,,
29,P80005499,Arkansas,AR,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,CON,"4,023",,0.37%,,,,
30,P80004930,Arkansas,AR,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,GRE,"3,470",,0.32%,,,,
31,P80005572,Arkansas,AR,11/4/08,Gloria,La Riva,"La Riva, Gloria",,SLP,"1,139",,0.10%,,,,
32,n/a,Arkansas,AR,11/4/08,,,,Total State Votes: ,,"1,086,617","1,086,617",,,,,
33,P80003338,California,CA,11/4/08,Barack,Obama,"Obama, Barack",,D,"8,274,473",,61.01%,,,,
34,P80002801,California,CA,11/4/08,John,McCain,"McCain, John",,R,"5,011,781",,36.95%,,,,
35,P20000527,California,CA,11/4/08,Ralph,Nader,"Nader, Ralph",,PAF,"108,381",,0.80%,,,,
36,P80005580,California,CA,11/4/08,Bob,Barr,"Barr, Bob",,LBT,"67,582",,0.50%,,,,
37,P60003076,California,CA,11/4/08,Alan,Keyes,"Keyes, Alan",,AIP,"40,673",,0.30%,,,,
38,P80004930,California,CA,11/4/08,Cynthia,McKinney,"McKinney, Cynthia",,GRE,"38,774",,0.29%,,,,
39,P80000748,California,CA,11/4/08,Ron,Paul,"Paul, Ron",,W,"17,006",,0.13%,,,,
40,P80005499,California,CA,11/4/08,Chuck,Baldwin,"Baldwin, Chuck",,W,"3,145",,0.02%,,,,
